,index,skipped_cycles,total_cycles,prompt-removal-lifetime,description,criticality,density,neutrons-per-fission,lethargy-fission-causing-neutrons,source-entropy,prompt-removal-lifetime-std,criticality-std,fast-fission,radius,energy-fission-causing-neutrons,source-entropy-stable-cycle,thermal-fission,source-entropy-std,particles_per_cycle,criticality_guess,epithermal-fission
0,20,50,150,8.2865e-10,FLiBe w/ Enriched Li,0.15823,-2.1228808,2.6,1.2438,8.39,8.0515e-13,4e-05,97.36,000.1,1.905,7.0,0.0,0.00492,75000,0.5,2.64
1,13,50,150,9.34e-10,FLiBe w/ Enriched Li,0.1597,-2.1228808,2.6,1.2315,8.39,1.0211e-12,4e-05,97.24,000.2,1.8952,6.0,0.0,0.00519,75000,0.5,2.76
2,32,50,150,1.0438e-09,FLiBe w/ Enriched Li,0.16091,-2.1228808,2.6,1.2186,8.39,1.2447e-12,4e-05,97.18,000.3,1.8831,5.0,0.0,0.0063,75000,0.5,2.82
3,10,50,150,1.1496e-09,FLiBe w/ Enriched Li,0.16195,-2.1228808,2.6,1.2109,8.4,1.8527e-12,5e-05,97.12,000.4,1.8755,5.0,0.0,0.00584,75000,0.5,2.88
4,52,50,150,1.2618e-09,FLiBe w/ Enriched Li,0.16291,-2.1228808,2.6,1.202,8.4,2.9952e-12,4e-05,97.08,000.5,1.8659,9.0,0.0,0.00443,75000,0.5,2.92
5,53,50,150,1.8262e-09,FLiBe w/ Enriched Li,0.16619,-2.1228808,2.6,1.1764,8.4,5.4355e-12,4e-05,96.85,001.0,1.8443,5.0,0.0,0.00442,75000,0.5,3.15
6,56,50,150,2.4529e-09,FLiBe w/ Enriched Li,0.16828,-2.1228808,2.6,1.156,8.41,8.4463e-12,4e-05,96.66,001.5,1.8278,6.0,0.0,0.00503,75000,0.5,3.34
7,4,50,150,3.1521e-09,FLiBe w/ Enriched Li,0.16979,-2.1228808,2.6,1.1431,8.41,2.0743e-11,4e-05,96.5,002.0,1.8168,6.0,0.0,0.00487,75000,0.5,3.5
8,57,50,150,4.7967e-09,FLiBe w/ Enriched Li,0.17177,-2.1228808,2.6,1.1204,8.41,3.4731e-11,5e-05,96.18,003.0,1.7998,6.0,0.0,0.00474,75000,0.5,3.82
9,40,50,150,7.0111e-09,FLiBe w/ Enriched Li,0.17332,-2.1228808,2.6,1.1018,8.41,7.6001e-11,5e-05,95.86,004.0,1.787,6.0,0.0,0.00531,75000,0.5,4.14
10,18,50,150,9.811e-09,FLiBe w/ Enriched Li,0.17442,-2.1228808,2.6,1.0857,8.41,1.0338e-10,5e-05,95.59,005.0,1.7757,6.0,0.0,0.00514,75000,0.5,4.41
11,15,50,150,2.0342e-08,FLiBe w/ Enriched Li,0.17623,-2.1228808,2.6,1.0512,8.41,3.3804e-10,5e-05,94.88,007.5,1.7597,5.0,0.0,0.00578,75000,0.5,5.12
12,35,50,150,4.2719e-08,FLiBe w/ Enriched Li,0.17774,-2.1228808,2.6,1.0167,8.42,6.3454e-10,5e-05,94.23,010.0,1.743,5.0,0.0,0.00531,75000,0.5,5.77
13,27,50,150,7.1099e-08,FLiBe w/ Enriched Li,0.17902,-2.1228808,2.6,0.97849,8.42,2.8607e-09,5e-05,93.56,012.5,1.7305,6.0,0.0,0.00418,75000,0.5,6.44
14,6,50,150,1.684e-07,FLiBe w/ Enriched Li,0.18007,-2.1228808,2.6,0.93784,8.42,7.322e-09,6e-05,92.94,015.0,1.7167,5.0,0.0,0.00463,75000,0.5,7.06
15,26,50,150,9.4511e-07,FLiBe w/ Enriched Li,0.18204,-2.1228808,2.6,0.8478,8.43,4.4502e-08,6e-05,91.73,020.0,1.6922,6.0,0.05,0.00415,75000,0.5,8.22
16,17,50,150,4.0112e-06,FLiBe w/ Enriched Li,0.18366,-2.1228808,2.6,0.76136,8.43,2.2374e-07,7e-05,90.71,025.0,1.6754,5.0,0.2,0.00495,75000,0.5,9.09
17,19,50,150,1.3812e-05,FLiBe w/ Enriched Li,0.18491,-2.1228808,2.6,0.69504,8.44,4.8222e-07,7e-05,89.98,030.0,1.6615,5.0,0.43,0.00486,75000,0.5,9.59
18,46,50,150,5.2383e-05,FLiBe w/ Enriched Li,0.18594,-2.1228808,2.6,0.61641,8.45,1.5794e-06,7e-05,89.14,040.0,1.6457,7.0,0.85,0.00456,75000,0.5,10.01
19,37,50,150,0.00011392,FLiBe w/ Enriched Li,0.18634,-2.1228808,2.6,0.59685,8.45,2.2681e-06,6e-05,88.97,050.0,1.6415,7.0,1.02,0.00461,75000,0.5,10.01
20,38,50,150,8.302e-10,FLiBe w/ Natural Li,0.15817,-2.1228808,2.6,1.2433,8.39,6.9554e-13,4e-05,97.33,000.1,1.9046,9.0,0.0,0.00493,75000,0.5,2.67
21,33,50,150,9.3479e-10,FLiBe w/ Natural Li,0.15969,-2.1228808,2.6,1.2317,8.39,1.5071e-12,4e-05,97.28,000.2,1.8956,7.0,0.0,0.00502,75000,0.5,2.72
22,7,50,150,1.0429e-09,FLiBe w/ Natural Li,0.16086,-2.1228808,2.6,1.2179,8.39,1.4523e-12,4e-05,97.19,000.3,1.8814,6.0,0.0,0.00582,75000,0.5,2.81
23,58,50,150,1.1491e-09,FLiBe w/ Natural Li,0.16203,-2.1228808,2.6,1.2119,8.39,1.8746e-12,5e-05,97.14,000.4,1.8763,5.0,0.0,0.00545,75000,0.5,2.86
24,49,50,150,1.2589e-09,FLiBe w/ Natural Li,0.16291,-2.1228808,2.6,1.2022,8.4,2.3038e-12,4e-05,97.06,000.5,1.8688,9.0,0.0,0.00459,75000,0.5,2.94
25,43,50,150,1.8291e-09,FLiBe w/ Natural Li,0.16614,-2.1228808,2.6,1.1746,8.4,5.4516e-12,4e-05,96.84,001.0,1.8425,8.0,0.0,0.00443,75000,0.5,3.16
26,48,50,150,2.4786e-09,FLiBe w/ Natural Li,0.16819,-2.1228808,2.6,1.156,8.41,1.1776e-11,4e-05,96.65,001.5,1.8278,6.0,0.0,0.00521,75000,0.5,3.35
27,50,50,150,3.1687e-09,FLiBe w/ Natural Li,0.16971,-2.1228808,2.6,1.1415,8.41,1.5392e-11,5e-05,96.47,002.0,1.8154,7.0,0.0,0.00475,75000,0.5,3.53
28,36,50,150,4.8522e-09,FLiBe w/ Natural Li,0.17173,-2.1228808,2.6,1.12,8.41,3.569e-11,5e-05,96.16,003.0,1.7988,7.0,0.0,0.00442,75000,0.5,3.84
29,12,50,150,6.9895e-09,FLiBe w/ Natural Li,0.17314,-2.1228808,2.6,1.1035,8.41,4.6198e-11,5e-05,95.89,004.0,1.7876,5.0,0.0,0.0056,75000,0.5,4.11
