,material-dict-coolant-ID-0,material-dict-fuel-density,lethargy-fission-causing-neutrons,neutrons-per-fission,source-entropy-stable-cycle,geometry-dict-poison-radius,criticality-dict-particles-per-cycle,prompt-removal-lifetime,geometry-dict-margin,material-dict-gap-ID-0,geometry-dict-clad-thickness,fast-fission,material-dict-clad-name,criticality-dict-skipped-cycles,criticality-dict-ksrc,material-dict-fuel-name,material-dict-clad-ID-0,geometry-dict-hex-height,material-dict-gap-density,prompt-removal-lifetime-std,condition-dict-coolant,energy-fission-causing-neutrons,geometry-dict-gap-width,material-dict-coolant-density,geometry-dict-fuel-radius,description,criticality,material-dict-fuel-ID-0,geometry-dict-clad-radius,epithermal-fission,source-entropy,source-entropy-std,material-dict-clad-density,material-dict-coolant-name,geometry-dict-hex-facet-1,geometry-dict-hex-facet-0,geometry-dict-hex-facet-2,geometry-dict-hex-base,criticality-std,thermal-fission,condition-dict-poison,criticality-dict-total-cycles,geometry-dict-gap-radius,criticality-dict-criticality-guess,geometry-dict-poison-thickness,material-dict-gap-name
0,0013,-13.43672,0.00014568,2.4,1.0,0.19374999999999998,50000,9.2635e-06,0.28154296874999996,0011,0.1,8.47,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,6.471e-08,True,0.18783,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.282 cm margin,0.73936,0001,0.33374999999999999,79.76,6.08,0.0053,-2.8,flibe,0.307646484375  -0.532859341707  0.0  ,0.61529296875  0.0  0.0  ,-0.307646484375  -0.532859341707  0.0  ,0.0  0.0  -2.5,0.00026,11.76,False,80,0.23374999999999999,1.0,0.0,helium
1,0013,-13.43672,0.0091528,2.4,4.0,0.50624999999999998,50000,1.1514e-06,0.18193359374999998,0011,0.1,26.32,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.2203e-09,True,0.56348,0.04,-2.1228808,0.50624999999999998,UC - None - 0.506 cm radius - 0.182 cm margin,0.77965,0001,0.64624999999999999,73.65,7.6,0.00319,-2.8,flibe,0.414091796875  -0.717228031185  0.0  ,0.82818359375  0.0  0.0  ,-0.414091796875  -0.717228031185  0.0  ,0.0  0.0  -2.5,0.00021,0.03,False,80,0.54625000000000001,1.0,0.0,helium
2,0013,-13.43672,0.0011961,2.4,6.0,0.25624999999999998,50000,3.2228e-06,0.20419921874999999,0011,0.1,14.9,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.2605e-08,True,0.32492,0.04,-2.1228808,0.25624999999999998,UC - None - 0.256 cm radius - 0.204 cm margin,0.74378,0001,0.39624999999999999,83.39,6.34,0.00301,-2.8,flibe,0.300224609375  -0.52000427712  0.0  ,0.60044921875  0.0  0.0  ,-0.300224609375  -0.52000427712  0.0  ,0.0  0.0  -2.5,0.00016,1.71,False,80,0.29624999999999996,1.0,0.0,helium
3,0013,-13.43672,0.0028774,2.4,1.0,0.31874999999999998,50000,2.0429e-06,0.18427734374999999,0011,0.1,19.1,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,5.647e-09,True,0.41399,0.04,-2.1228808,0.31874999999999998,UC - None - 0.319 cm radius - 0.184 cm margin,0.75891,0001,0.45874999999999999,80.48,6.57,0.0032,-2.8,flibe,0.321513671875  -0.556878015016  0.0  ,0.64302734375  0.0  0.0  ,-0.321513671875  -0.556878015016  0.0  ,0.0  0.0  -2.5,0.00018,0.42,False,80,0.35874999999999996,1.0,0.0,helium
4,0013,-13.43672,0.00085289,2.4,3.0,0.19374999999999998,50000,3.9396e-06,0.15439453124999999,0011,0.1,13.6,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.5981e-08,True,0.29536,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.154 cm margin,0.73202,0001,0.33374999999999999,83.78,6.08,0.00451,-2.8,flibe,0.244072265625  -0.422745564781  0.0  ,0.48814453125  0.0  0.0  ,-0.244072265625  -0.422745564781  0.0  ,0.0  0.0  -2.5,0.00018,2.61,False,80,0.23374999999999999,1.0,0.0,helium
5,0013,-13.43672,0.001851,2.4,2.0,0.44374999999999998,50000,2.5446e-06,0.35361328124999997,0011,0.1,16.88,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,8.2305e-09,True,0.37064,0.04,-2.1228808,0.44374999999999998,UC - None - 0.444 cm radius - 0.354 cm margin,0.76531,0001,0.58374999999999999,82.17,7.42,0.00418,-2.8,flibe,0.468681640625  -0.811780414137  0.0  ,0.93736328125  0.0  0.0  ,-0.468681640625  -0.811780414137  0.0  ,0.0  0.0  -2.5,0.00021,0.95,False,80,0.48374999999999996,1.0,0.0,helium
6,0013,-13.43672,0.0047695,2.4,4.0,0.25624999999999998,50000,1.6701e-06,0.092089843749999997,0011,0.1,22.23,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.9383e-09,True,0.47373,0.04,-2.1228808,0.25624999999999998,UC - None - 0.256 cm radius - 0.092 cm margin,0.76133,0001,0.39624999999999999,77.62,6.34,0.0035,-2.8,flibe,0.244169921875  -0.422914710368  0.0  ,0.48833984375  0.0  0.0  ,-0.244169921875  -0.422914710368  0.0  ,0.0  0.0  -2.5,0.0002,0.15,False,80,0.29624999999999996,1.0,0.0,helium
7,0013,-13.43672,0.009908,2.4,3.0,0.56874999999999998,50000,1.1053e-06,0.20439453124999998,0011,0.1,26.88,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.1236e-09,True,0.57663,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.204 cm margin,0.78187,0001,0.70874999999999999,73.1,7.73,0.00299,-2.8,flibe,0.456572265625  -0.790806361389  0.0  ,0.91314453125  0.0  0.0  ,-0.456572265625  -0.790806361389  0.0  ,0.0  0.0  -2.5,0.00019,0.03,False,80,0.60875000000000001,1.0,0.0,helium
8,0013,-13.43672,0.00077619,2.4,3.0,0.31874999999999998,50000,4.0255e-06,0.32373046875,0011,0.1,13.25,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.5835e-08,True,0.29221,0.04,-2.1228808,0.31874999999999998,UC - None - 0.319 cm radius - 0.324 cm margin,0.75117,0001,0.45874999999999999,83.78,6.57,0.00356,-2.8,flibe,0.391240234375  -0.677647963903  0.0  ,0.78248046875  0.0  0.0  ,-0.391240234375  -0.677647963903  0.0  ,0.0  0.0  -2.5,0.00021,2.96,False,80,0.35874999999999996,1.0,0.0,helium
9,0013,-13.43672,0.0010619,2.4,2.0,0.56874999999999998,50000,3.4123e-06,0.57763671875,0011,0.1,14.69,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.6125e-08,True,0.32728,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.578 cm margin,0.77691,0001,0.70874999999999999,83.08,7.73,0.00325,-2.8,flibe,0.643193359375  -1.11404357753  0.0  ,1.28638671875  0.0  0.0  ,-0.643193359375  -1.11404357753  0.0  ,0.0  0.0  -2.5,0.00024,2.23,False,80,0.60875000000000001,1.0,0.0,helium
